AU, Blenshape, value
1,Eye_Left_Blink,0 
1,Eye_Left_Wide,0.2598118 
1,Eye_Left_Right,0 
1,Eye_Left_Left,0.07578459 
1,Eye_Left_Up,0.2598118 
1,Eye_Left_Down,0 
1,Eye_Right_Blink,0 
1,Eye_Right_Wide,0.2598118 
1,Eye_Right_Right,0 
1,Eye_Right_Left,0.07578459 
1,Eye_Right_Up,0.2598118 
1,Eye_Right_Down,0 
1,Eye_Frown,0 
1,Eye_Left_Squeeze,0 
1,Eye_Right_Squeeze,0 
1,Max,0 
1,None,0 

AU, Blenshape, value
2,Eye_Left_Blink,0 
2,Eye_Left_Wide,0.6883572 
2,Eye_Left_Right,0 
2,Eye_Left_Left,0.03703976 
2,Eye_Left_Up,0.6883572 
2,Eye_Left_Down,0.0343744 
2,Eye_Right_Blink,0 
2,Eye_Right_Wide,0.6883572 
2,Eye_Right_Right,0 
2,Eye_Right_Left,0.03703976 
2,Eye_Right_Up,0.6883572 
2,Eye_Right_Down,0.0343744 
2,Eye_Frown,0 
2,Eye_Left_Squeeze,0 
2,Eye_Right_Squeeze,0 
2,Max,0 
2,None,0 

AU, Blenshape, value
4,Eye_Left_Blink,0 
4,Eye_Left_Wide,0.246505 
4,Eye_Left_Right,0 
4,Eye_Left_Left,0.0423606 
4,Eye_Left_Up,0.246505 
4,Eye_Left_Down,0 
4,Eye_Right_Blink,0 
4,Eye_Right_Wide,0.246505 
4,Eye_Right_Right,0 
4,Eye_Right_Left,0.0423606 
4,Eye_Right_Up,0.246505 
4,Eye_Right_Down,0 
4,Eye_Frown,0 
4,Eye_Left_Squeeze,0 
4,Eye_Right_Squeeze,0 
4,Max,0 
4,None,0 

AU, Blenshape, value
5,Eye_Left_Blink,0 
5,Eye_Left_Wide,0.7906585 
5,Eye_Left_Right,0 
5,Eye_Left_Left,0.05653512 
5,Eye_Left_Up,0.7906585 
5,Eye_Left_Down,0.02936702 
5,Eye_Right_Blink,0 
5,Eye_Right_Wide,0.7906585 
5,Eye_Right_Right,0 
5,Eye_Right_Left,0.05653512 
5,Eye_Right_Up,0.7906585 
5,Eye_Right_Down,0.02936702 
5,Eye_Frown,0 
5,Eye_Left_Squeeze,0 
5,Eye_Right_Squeeze,0 
5,Max,0 
5,None,0 

AU, Blenshape, value
6,Eye_Left_Blink,0.05811912 
6,Eye_Left_Wide,0 
6,Eye_Left_Right,0 
6,Eye_Left_Left,0.01957965 
6,Eye_Left_Up,0 
6,Eye_Left_Down,0.009016722 
6,Eye_Right_Blink,0.05520636 
6,Eye_Right_Wide,0 
6,Eye_Right_Right,0 
6,Eye_Right_Left,0.01957965 
6,Eye_Right_Up,0 
6,Eye_Right_Down,0.009016722 
6,Eye_Frown,0 
6,Eye_Left_Squeeze,0 
6,Eye_Right_Squeeze,0 
6,Max,0 
6,None,0 

AU, Blenshape, value
7,Eye_Left_Blink,0.2376863 
7,Eye_Left_Wide,0 
7,Eye_Left_Right,0 
7,Eye_Left_Left,0.05379853 
7,Eye_Left_Up,0 
7,Eye_Left_Down,0.05193151 
7,Eye_Right_Blink,0.245083 
7,Eye_Right_Wide,0 
7,Eye_Right_Right,0 
7,Eye_Right_Left,0.05379853 
7,Eye_Right_Up,0 
7,Eye_Right_Down,0.05193151 
7,Eye_Frown,0 
7,Eye_Left_Squeeze,0 
7,Eye_Right_Squeeze,0 
7,Max,0 
7,None,0 

AU, Blenshape, value
9,Eye_Left_Blink,0.03535408 
9,Eye_Left_Wide,0 
9,Eye_Left_Right,0 
9,Eye_Left_Left,0.03917107 
9,Eye_Left_Up,0 
9,Eye_Left_Down,0.08209498 
9,Eye_Right_Blink,0.05184507 
9,Eye_Right_Wide,0 
9,Eye_Right_Right,0 
9,Eye_Right_Left,0.03917107 
9,Eye_Right_Up,0 
9,Eye_Right_Down,0.08209498 
9,Eye_Frown,0 
9,Eye_Left_Squeeze,0 
9,Eye_Right_Squeeze,0 
9,Max,0 
9,None,0 

AU, Blenshape, value
10,Eye_Left_Blink,0 
10,Eye_Left_Wide,0.06835019 
10,Eye_Left_Right,0 
10,Eye_Left_Left,0.05455294 
10,Eye_Left_Up,0.06835019 
10,Eye_Left_Down,0.0960789 
10,Eye_Right_Blink,0 
10,Eye_Right_Wide,0.06835019 
10,Eye_Right_Right,0 
10,Eye_Right_Left,0.05455294 
10,Eye_Right_Up,0.06835019 
10,Eye_Right_Down,0.0960789 
10,Eye_Frown,0 
10,Eye_Left_Squeeze,0 
10,Eye_Right_Squeeze,0 
10,Max,0 
10,None,0 

AU, Blenshape, value
12,Eye_Left_Blink,0 
12,Eye_Left_Wide,0.471129 
12,Eye_Left_Right,0 
12,Eye_Left_Left,0.03244209 
12,Eye_Left_Up,0.471129 
12,Eye_Left_Down,0.05375291 
12,Eye_Right_Blink,0 
12,Eye_Right_Wide,0.471129 
12,Eye_Right_Right,0 
12,Eye_Right_Left,0.03244209 
12,Eye_Right_Up,0.471129 
12,Eye_Right_Down,0.05375291 
12,Eye_Frown,0 
12,Eye_Left_Squeeze,0 
12,Eye_Right_Squeeze,0 
12,Max,0 
12,None,0 

AU, Blenshape, value
14,Eye_Left_Blink,0 
14,Eye_Left_Wide,0.2742692 
14,Eye_Left_Right,0.01225996 
14,Eye_Left_Left,0.001951069 
14,Eye_Left_Up,0.2742692 
14,Eye_Left_Down,0.1145659 
14,Eye_Right_Blink,0 
14,Eye_Right_Wide,0.2742692 
14,Eye_Right_Right,0.01225996 
14,Eye_Right_Left,0.001951069 
14,Eye_Right_Up,0.2742692 
14,Eye_Right_Down,0.1145659 
14,Eye_Frown,0 
14,Eye_Left_Squeeze,0 
14,Eye_Right_Squeeze,0 
14,Max,0 
14,None,0 

AU, Blenshape, value
15,Eye_Left_Blink,0 
15,Eye_Left_Wide,0.0818195 
15,Eye_Left_Right,0 
15,Eye_Left_Left,0.09124798 
15,Eye_Left_Up,0.0818195 
15,Eye_Left_Down,0.1716453 
15,Eye_Right_Blink,0 
15,Eye_Right_Wide,0.0818195 
15,Eye_Right_Right,0 
15,Eye_Right_Left,0.09124798 
15,Eye_Right_Up,0.0818195 
15,Eye_Right_Down,0.1716453 
15,Eye_Frown,0 
15,Eye_Left_Squeeze,0 
15,Eye_Right_Squeeze,0 
15,Max,0 
15,None,0 

AU, Blenshape, value
16,Eye_Left_Blink,0.009761512 
16,Eye_Left_Wide,0 
16,Eye_Left_Right,0 
16,Eye_Left_Left,0.1238644 
16,Eye_Left_Up,0 
16,Eye_Left_Down,0.1164684 
16,Eye_Right_Blink,0.01020402 
16,Eye_Right_Wide,0 
16,Eye_Right_Right,0 
16,Eye_Right_Left,0.1238644 
16,Eye_Right_Up,0 
16,Eye_Right_Down,0.1164684 
16,Eye_Frown,0 
16,Eye_Left_Squeeze,0 
16,Eye_Right_Squeeze,0 
16,Max,0 
16,None,0 

AU, Blenshape, value
17,Eye_Left_Blink,0 
17,Eye_Left_Wide,0.07348113 
17,Eye_Left_Right,0 
17,Eye_Left_Left,0.03103486 
17,Eye_Left_Up,0.07348113 
17,Eye_Left_Down,0.1037767 
17,Eye_Right_Blink,0 
17,Eye_Right_Wide,0.07348113 
17,Eye_Right_Right,0 
17,Eye_Right_Left,0.03103486 
17,Eye_Right_Up,0.07348113 
17,Eye_Right_Down,0.1037767 
17,Eye_Frown,0 
17,Eye_Left_Squeeze,0 
17,Eye_Right_Squeeze,0 
17,Max,0 
17,None,0 

AU, Blenshape, value
20,Eye_Left_Blink,0 
20,Eye_Left_Wide,0.1867667 
20,Eye_Left_Right,0 
20,Eye_Left_Left,0.05234733 
20,Eye_Left_Up,0.1867667 
20,Eye_Left_Down,0.1004449 
20,Eye_Right_Blink,0 
20,Eye_Right_Wide,0.1867667 
20,Eye_Right_Right,0 
20,Eye_Right_Left,0.05234733 
20,Eye_Right_Up,0.1867667 
20,Eye_Right_Down,0.1004449 
20,Eye_Frown,0 
20,Eye_Left_Squeeze,0 
20,Eye_Right_Squeeze,0 
20,Max,0 
20,None,0 

AU, Blenshape, value
23,Eye_Left_Blink,0 
23,Eye_Left_Wide,0.102826 
23,Eye_Left_Right,0 
23,Eye_Left_Left,0.08589572 
23,Eye_Left_Up,0.102826 
23,Eye_Left_Down,0.1440939 
23,Eye_Right_Blink,0 
23,Eye_Right_Wide,0.102826 
23,Eye_Right_Right,0 
23,Eye_Right_Left,0.08589572 
23,Eye_Right_Up,0.102826 
23,Eye_Right_Down,0.1440939 
23,Eye_Frown,0 
23,Eye_Left_Squeeze,0 
23,Eye_Right_Squeeze,0 
23,Max,0 
23,None,0 

AU, Blenshape, value
26,Eye_Left_Blink,0 
26,Eye_Left_Wide,0.3194068 
26,Eye_Left_Right,0 
26,Eye_Left_Left,0.09378341 
26,Eye_Left_Up,0.3194068 
26,Eye_Left_Down,0.136535 
26,Eye_Right_Blink,0 
26,Eye_Right_Wide,0.3194068 
26,Eye_Right_Right,0 
26,Eye_Right_Left,0.09378341 
26,Eye_Right_Up,0.3194068 
26,Eye_Right_Down,0.136535 
26,Eye_Frown,0 
26,Eye_Left_Squeeze,0 
26,Eye_Right_Squeeze,0 
26,Max,0 
26,None,0 

